zip_code,cluster,division
1001,3,0
1002,4,0
1005,14,0
1007,14,0
1008,14,0
1010,14,0
1011,14,0
1012,14,0
1013,0,0
1020,3,0
1022,4,0
1026,12,0
1027,4,0
1028,5,0
1030,4,0
1031,13,0
1032,14,0
1033,14,0
1034,14,0
1035,14,0
1036,14,0
1038,14,0
1039,14,0
1040,8,0
1050,14,0
1053,10,0
1054,14,0
1056,4,0
1057,14,0
1060,9,0
1062,4,0
1068,14,0
1069,4,0
1070,14,0
1071,14,0
1072,14,0
1073,14,0
1075,4,0
1077,4,0
1080,2,0
1081,14,0
1082,14,0
1084,12,0
1085,4,0
1088,13,0
1089,3,0
1095,5,0
1096,14,0
1098,14,0
1103,8,0
1104,8,0
1105,8,0
1106,1,0
1107,8,0
1108,11,0
1109,0,0
1118,3,0
1119,0,0
1128,3,0
1129,3,0
1151,8,0
1201,2,0
1220,2,0
1222,14,0
1223,12,0
1224,5,0
1225,13,0
1226,14,0
1230,14,0
1235,14,0
1236,4,0
1237,14,0
1238,14,0
1240,14,0
1245,12,0
1247,2,0
1253,14,0
1254,14,0
1255,12,0
1256,12,0
1257,13,0
1258,12,0
1259,12,0
1266,14,0
1267,14,0
1270,12,0
1301,2,0
1330,14,0
1331,13,0
1337,14,0
1338,14,0
1339,12,0
1340,13,0
1341,14,0
1342,14,0
1343,14,0
1344,14,0
1346,12,0
1349,14,0
1351,14,0
1354,14,0
1355,12,0
1360,14,0
1364,13,0
1366,14,0
1367,12,0
1368,14,0
1370,14,0
1373,14,0
1375,14,0
1376,0,0
1378,12,0
1379,12,0
1420,2,0
1430,14,0
1431,14,0
1432,4,0
1434,4,0
1436,4,0
1440,2,0
1450,5,0
1451,14,0
1452,14,0
1453,3,0
1460,5,0
1462,4,0
1463,4,0
1464,4,0
1468,14,0
1469,14,0
1473,14,0
1474,14,0
1475,14,0
1501,4,0
1503,14,0
1504,4,0
1505,14,0
1506,14,0
1507,5,0
1510,3,0
1515,14,0
1516,14,0
1518,4,0
1519,5,0
1520,5,0
1521,14,0
1522,14,0
1523,4,0
1524,4,0
1527,4,0
1529,4,0
1531,14,0
1532,5,0
1534,5,0
1535,14,0
1536,4,0
1537,4,0
1540,4,0
1541,14,0
1542,4,0
1543,14,0
1545,1,0
1550,2,0
1560,9,0
1562,4,0
1564,14,0
1566,14,0
1568,5,0
1569,5,0
1570,2,0
1571,4,0
1581,5,0
1583,4,0
1585,14,0
1588,4,0
1590,14,0
1602,3,0
1603,0,0
1604,0,0
1605,0,0
1606,3,0
1607,0,0
1608,8,0
1609,0,0
1610,11,0
1611,4,0
1612,5,0
1701,1,0
1702,0,0
1718,1,0
1719,5,0
1720,5,0
1721,5,0
1730,5,0
1731,6,0
1740,14,0
1741,5,0
1742,5,0
1745,4,0
1746,5,0
1747,5,0
1748,5,0
1749,3,0
1752,9,0
1754,9,0
1756,5,0
1757,3,0
1760,1,0
1770,14,0
1772,5,0
1773,5,0
1775,5,0
1776,5,0
1778,5,0
1801,3,0
1803,1,0
1810,5,0
1821,9,0
1824,1,0
1826,9,0
1827,14,0
1830,3,0
1832,3,0
1833,5,0
1834,5,0
1835,9,0
1840,8,0
1841,11,0
1843,0,0
1844,3,0
1845,5,0
1850,11,0
1851,11,0
1852,0,0
1854,0,0
1860,5,0
1862,9,0
1863,3,0
1864,5,0
1867,1,0
1876,5,0
1879,5,0
1880,1,0
1886,5,0
1887,5,0
1890,1,0
1901,8,0
1902,11,0
1904,3,0
1905,0,0
1906,3,0
1907,1,0
1908,3,0
1913,9,0
1915,3,0
1921,5,0
1922,5,0
1923,3,0
1929,14,0
1930,3,0
1938,5,0
1940,5,0
1944,5,0
1945,1,0
1949,5,0
1950,1,0
1951,14,0
1952,4,0
1960,3,0
1966,10,0
1969,5,0
1970,0,0
1982,5,0
1983,5,0
1984,5,0
1985,5,0
2019,4,0
2021,5,0
2025,5,0
2026,1,0
2030,5,0
2032,3,0
2035,5,0
2038,5,0
2043,5,0
2045,3,0
2048,5,0
2050,5,0
2052,5,0
2053,5,0
2054,5,0
2056,5,0
2061,5,0
2062,3,0
2066,5,0
2067,5,0
2071,9,0
2072,3,0
2081,5,0
2090,1,0
2093,5,0
2108,7,0
2109,7,0
2110,1,0
2111,11,0
2113,7,0
2114,7,0
2115,11,0
2116,7,0
2118,7,0
2119,11,0
2120,11,0
2121,11,0
2122,11,0
2124,11,0
2125,11,0
2126,11,0
2127,7,0
2128,11,0
2129,7,0
2130,7,0
2131,7,0
2132,1,0
2134,11,0
2135,7,0
2136,3,0
2138,7,0
2139,7,0
2140,7,0
2141,7,0
2142,7,0
2143,7,0
2144,7,0
2145,7,0
2148,7,0
2149,11,0
2150,11,0
2151,0,0
2152,7,0
2155,7,0
2163,6,0
2169,7,0
2170,7,0
2171,7,0
2176,1,0
2180,3,0
2184,3,0
2186,1,0
2188,3,0
2189,3,0
2190,3,0
2191,3,0
2199,7,0
2210,9,0
2215,6,0
2301,0,0
2302,3,0
2322,4,0
2324,9,0
2330,4,0
2332,5,0
2333,5,0
2338,4,0
2339,5,0
2341,5,0
2343,3,0
2346,4,0
2347,5,0
